ticket_id,text,label
73,I suggest adding a dashboard feature. This is urgent.,Feature Request
74,Please process my refund immediately. I am frustrated.,Refund Request
75,Can you add multi-language support?,Feature Request
76,The app crashes when I open it. Please help quickly.,Technical Support
77,I had a terrible experience. Please help quickly.,Complaint
78,Please process my refund immediately. This is urgent.,Refund Request
79,I was charged twice for my subscription. This is urgent.,Billing Issue
80,I see an unknown charge on my card. Please help quickly.,Billing Issue
81,Can you explain how this product works? Please help quickly.,Product Inquiry
82,Delivery address was changed without notice. This is urgent.,Shipping Problem
83,I suggest adding a dashboard feature.,Feature Request
84,I cannot log into my account. It has been 3 days already.,Account Access
85,What are the specifications of this item? Please help quickly.,Product Inquiry
86,Please process my refund immediately. Kindly resolve ASAP.,Refund Request
87,Payment failed but money was deducted.,Billing Issue
88,Why was I billed after cancellation? Kindly resolve ASAP.,Billing Issue
89,The app crashes when I open it. This is urgent.,Technical Support
90,I suggest adding a dashboard feature. It has been 3 days already.,Feature Request
91,I received the wrong item. It has been 3 days already.,Shipping Problem
92,Error code 500 appears frequently. I am frustrated.,Technical Support
93,Please reset my password. I am frustrated.,Account Access
94,I suggest adding a dashboard feature. It has been 3 days already.,Feature Request
95,Shipment is delayed. Please help quickly.,Shipping Problem
96,I returned the item but haven't received my refund. This is urgent.,Refund Request
97,I was charged twice for my subscription.,Billing Issue
98,Error code 500 appears frequently. It has been 3 days already.,Technical Support
99,This is unacceptable.,Complaint
100,I received the wrong item.,Shipping Problem
101,Delivery address was changed without notice. This is urgent.,Shipping Problem
102,Please introduce push notifications.,Feature Request
103,The tracking number is not working. I am frustrated.,Shipping Problem
104,Do you offer warranty for this product? This is urgent.,Product Inquiry
105,Does this support Android devices? I am frustrated.,Product Inquiry
106,I returned the item but haven't received my refund. I am frustrated.,Refund Request
107,I cannot log into my account. This is urgent.,Account Access
108,Please process my refund immediately. This is urgent.,Refund Request
109,The system freezes after login. Kindly resolve ASAP.,Technical Support
110,What colors are available? It has been 3 days already.,Product Inquiry
111,Is this product compatible with Windows?,Product Inquiry
112,The tracking number is not working. Kindly resolve ASAP.,Shipping Problem
113,The system freezes after login. This is urgent.,Technical Support
114,Shipment is delayed. I am frustrated.,Shipping Problem
115,Add integration with Google Drive. It has been 3 days already.,Feature Request
116,I was charged twice for my subscription.,Billing Issue
117,Shipment is delayed. It has been 3 days already.,Shipping Problem
118,I was charged twice for my subscription. This is urgent.,Billing Issue
119,Cancel my order and issue refund. Please help quickly.,Refund Request
120,I returned the item but haven't received my refund. This is urgent.,Refund Request
121,I want a refund for my last purchase. Please help quickly.,Refund Request
122,I see an unknown charge on my card. I am frustrated.,Billing Issue
123,This is unacceptable.,Complaint
124,I received the wrong item. Please help quickly.,Shipping Problem
125,I am very disappointed with your service. This is urgent.,Complaint
126,My order has not arrived yet.,Shipping Problem
127,Account was suspended without reason. I am frustrated.,Account Access
128,Delivery address was changed without notice. Please help quickly.,Shipping Problem
129,Very poor quality product. It has been 3 days already.,Complaint
130,Can you explain how this product works? It has been 3 days already.,Product Inquiry
131,This is unacceptable.,Complaint
132,I had a terrible experience. This is urgent.,Complaint
133,I returned the item but haven't received my refund. Please help quickly.,Refund Request
134,Does this support Android devices? It has been 3 days already.,Product Inquiry
135,Is this product compatible with Windows? Kindly resolve ASAP.,Product Inquiry
136,Does this support Android devices? Kindly resolve ASAP.,Product Inquiry
137,Please process my refund immediately. This is urgent.,Refund Request
138,I returned the item but haven't received my refund. It has been 3 days already.,Refund Request
139,Subscription renewal amount is wrong.,Billing Issue
140,I cannot log into my account. It has been 3 days already.,Account Access
141,Subscription renewal amount is wrong. Kindly resolve ASAP.,Billing Issue
142,Payment failed but money was deducted. I am frustrated.,Billing Issue
143,Subscription renewal amount is wrong.,Billing Issue
144,The tracking number is not working. This is urgent.,Shipping Problem
145,I had a terrible experience. It has been 3 days already.,Complaint
146,Please reset my password. Please help quickly.,Account Access
147,"The product did not meet expectations, refund me. I am frustrated.",Refund Request
148,Can you add multi-language support? It has been 3 days already.,Feature Request
149,What colors are available? This is urgent.,Product Inquiry
150,"The product did not meet expectations, refund me. It has been 3 days already.",Refund Request
151,Does this support Android devices? This is urgent.,Product Inquiry
152,Two-factor authentication is not working. This is urgent.,Account Access
153,I suggest adding a dashboard feature. Kindly resolve ASAP.,Feature Request
154,Is this product compatible with Windows? This is urgent.,Product Inquiry
155,"The product did not meet expectations, refund me.",Refund Request
156,Package was damaged during delivery. This is urgent.,Shipping Problem
157,Two-factor authentication is not working. I am frustrated.,Account Access
158,What colors are available? It has been 3 days already.,Product Inquiry
159,Shipment is delayed. Kindly resolve ASAP.,Shipping Problem
160,The app crashes when I open it. This is urgent.,Technical Support
161,Website is not loading properly. It has been 3 days already.,Technical Support
162,Can you add multi-language support?,Feature Request
163,Cancel my order and issue refund.,Refund Request
164,What are the specifications of this item? Please help quickly.,Product Inquiry
165,Add integration with Google Drive. It has been 3 days already.,Feature Request
166,My order has not arrived yet.,Shipping Problem
167,Can you explain how this product works? Please help quickly.,Product Inquiry
168,I suggest adding a dashboard feature. Kindly resolve ASAP.,Feature Request
169,I received the wrong item. Please help quickly.,Shipping Problem
170,Does this support Android devices? I am frustrated.,Product Inquiry
171,Shipment is delayed. This is urgent.,Shipping Problem
172,The app crashes when I open it. It has been 3 days already.,Technical Support
173,What colors are available? I am frustrated.,Product Inquiry
174,"The product did not meet expectations, refund me.",Refund Request
175,Please add dark mode. I am frustrated.,Feature Request
176,The tracking number is not working. It has been 3 days already.,Shipping Problem
177,I returned the item but haven't received my refund.,Refund Request
178,Is this product compatible with Windows?,Product Inquiry
179,Payment failed but money was deducted. Kindly resolve ASAP.,Billing Issue
180,Why was I billed after cancellation? This is urgent.,Billing Issue
181,The system freezes after login. Kindly resolve ASAP.,Technical Support
182,I received the wrong item. It has been 3 days already.,Shipping Problem
183,Mobile app keeps logging me out.,Technical Support
184,Account was suspended without reason. Kindly resolve ASAP.,Account Access
185,Refund status is still pending. It has been 3 days already.,Refund Request
186,Package was damaged during delivery. Kindly resolve ASAP.,Shipping Problem
187,My account is locked. It has been 3 days already.,Account Access
188,Delivery address was changed without notice. I am frustrated.,Shipping Problem
189,Please introduce push notifications. It has been 3 days already.,Feature Request
190,Can you explain how this product works? Kindly resolve ASAP.,Product Inquiry
191,Support team is not responding. This is urgent.,Complaint
192,Please add dark mode. Kindly resolve ASAP.,Feature Request
193,I am getting a server error.,Technical Support
194,Delivery address was changed without notice.,Shipping Problem
195,Can you add multi-language support? It has been 3 days already.,Feature Request
196,I was charged twice for my subscription. It has been 3 days already.,Billing Issue
197,"The product did not meet expectations, refund me. I am frustrated.",Refund Request
198,What are the specifications of this item? This is urgent.,Product Inquiry
199,I suggest adding a dashboard feature.,Feature Request
200,My account is locked. It has been 3 days already.,Account Access
201,What colors are available? It has been 3 days already.,Product Inquiry
202,Account was suspended without reason. This is urgent.,Account Access
203,I am getting a server error.,Technical Support
204,Can you explain how this product works? Kindly resolve ASAP.,Product Inquiry
205,Please add dark mode. This is urgent.,Feature Request
206,Support team is not responding.,Complaint
207,The tracking number is not working. Please help quickly.,Shipping Problem
208,Very poor quality product. It has been 3 days already.,Complaint
209,Please introduce push notifications.,Feature Request
210,Refund status is still pending.,Refund Request
211,I was charged twice for my subscription. This is urgent.,Billing Issue
212,Shipment is delayed. It has been 3 days already.,Shipping Problem
213,Payment failed but money was deducted.,Billing Issue
214,"The product did not meet expectations, refund me. Kindly resolve ASAP.",Refund Request
215,"The product did not meet expectations, refund me. I am frustrated.",Refund Request
216,"The product did not meet expectations, refund me.",Refund Request
217,Support team is not responding.,Complaint
218,My account is locked. I am frustrated.,Account Access
219,I am getting a server error. Please help quickly.,Technical Support
220,My account is locked. It has been 3 days already.,Account Access
221,Is this product compatible with Windows?,Product Inquiry
222,I suggest adding a dashboard feature. This is urgent.,Feature Request
223,Refund status is still pending. This is urgent.,Refund Request
224,This is unacceptable. Please help quickly.,Complaint
225,"The product did not meet expectations, refund me. I am frustrated.",Refund Request
226,I received the wrong item. I am frustrated.,Shipping Problem
227,Please introduce push notifications. I am frustrated.,Feature Request
228,Cancel my order and issue refund. Please help quickly.,Refund Request
229,The tracking number is not working. It has been 3 days already.,Shipping Problem
230,Error code 500 appears frequently. It has been 3 days already.,Technical Support
231,My order has not arrived yet. It has been 3 days already.,Shipping Problem
232,Website is not loading properly. Kindly resolve ASAP.,Technical Support
233,The system freezes after login. Kindly resolve ASAP.,Technical Support
234,Account was suspended without reason. Kindly resolve ASAP.,Account Access
235,Is this product compatible with Windows? Kindly resolve ASAP.,Product Inquiry
236,Two-factor authentication is not working. I am frustrated.,Account Access
237,I suggest adding a dashboard feature.,Feature Request
238,I suggest adding a dashboard feature.,Feature Request
239,I cannot log into my account. This is urgent.,Account Access
240,Mobile app keeps logging me out. It has been 3 days already.,Technical Support
241,Is this product compatible with Windows? Kindly resolve ASAP.,Product Inquiry
242,Can you add multi-language support? This is urgent.,Feature Request
243,Please introduce push notifications. Please help quickly.,Feature Request
244,Please introduce push notifications. Please help quickly.,Feature Request
245,Why was I billed after cancellation? Kindly resolve ASAP.,Billing Issue
246,My account is locked. I am frustrated.,Account Access
247,Please add dark mode. I am frustrated.,Feature Request
248,Customer service was very rude. It has been 3 days already.,Complaint
249,The app crashes when I open it. Kindly resolve ASAP.,Technical Support
250,Shipment is delayed. Kindly resolve ASAP.,Shipping Problem
251,It would be great to have offline access.,Feature Request
252,This is unacceptable.,Complaint
253,The tracking number is not working.,Shipping Problem
254,Is this product compatible with Windows? Kindly resolve ASAP.,Product Inquiry
255,I returned the item but haven't received my refund.,Refund Request
256,This is unacceptable. This is urgent.,Complaint
257,It would be great to have offline access.,Feature Request
258,Delivery address was changed without notice.,Shipping Problem
259,"The product did not meet expectations, refund me. This is urgent.",Refund Request
260,I had a terrible experience. Please help quickly.,Complaint
261,The system freezes after login.,Technical Support
262,What are the specifications of this item? It has been 3 days already.,Product Inquiry
263,I cannot log into my account.,Account Access
264,Please process my refund immediately.,Refund Request
265,Account was suspended without reason. This is urgent.,Account Access
266,Mobile app keeps logging me out.,Technical Support
267,Support team is not responding. I am frustrated.,Complaint
268,Mobile app keeps logging me out. Kindly resolve ASAP.,Technical Support
269,Login OTP is not arriving.,Account Access
270,Shipment is delayed. Please help quickly.,Shipping Problem
271,I want a refund for my last purchase. It has been 3 days already.,Refund Request
272,Mobile app keeps logging me out. It has been 3 days already.,Technical Support
273,My account is locked.,Account Access
274,Mobile app keeps logging me out. Please help quickly.,Technical Support
275,Is this product compatible with Windows? This is urgent.,Product Inquiry
276,I see an unknown charge on my card. This is urgent.,Billing Issue
277,I suggest adding a dashboard feature. Please help quickly.,Feature Request
278,I am getting a server error.,Technical Support
279,I had a terrible experience. This is urgent.,Complaint
280,Please process my refund immediately.,Refund Request
281,It would be great to have offline access. It has been 3 days already.,Feature Request
282,My account is locked. Kindly resolve ASAP.,Account Access
283,Add integration with Google Drive. Kindly resolve ASAP.,Feature Request
284,Shipment is delayed. I am frustrated.,Shipping Problem
285,I suggest adding a dashboard feature.,Feature Request
286,Package was damaged during delivery. I am frustrated.,Shipping Problem
287,I see an unknown charge on my card.,Billing Issue
288,Website is not loading properly.,Technical Support
289,Do you offer warranty for this product? Kindly resolve ASAP.,Product Inquiry
290,It would be great to have offline access. I am frustrated.,Feature Request
291,I had a terrible experience. This is urgent.,Complaint
292,I was charged twice for my subscription. Kindly resolve ASAP.,Billing Issue
293,Can you add multi-language support? I am frustrated.,Feature Request
294,I received the wrong item. I am frustrated.,Shipping Problem
295,Is this product compatible with Windows? Please help quickly.,Product Inquiry
296,I want a refund for my last purchase.,Refund Request
297,Payment failed but money was deducted. It has been 3 days already.,Billing Issue
298,What colors are available?,Product Inquiry
299,I am getting a server error. I am frustrated.,Technical Support
300,Mobile app keeps logging me out. It has been 3 days already.,Technical Support
301,Account was suspended without reason. It has been 3 days already.,Account Access
302,My order has not arrived yet. Kindly resolve ASAP.,Shipping Problem
303,What colors are available? This is urgent.,Product Inquiry
304,Very poor quality product. It has been 3 days already.,Complaint
305,Why was I billed after cancellation?,Billing Issue
306,The app crashes when I open it. Please help quickly.,Technical Support
307,Mobile app keeps logging me out.,Technical Support
308,The tracking number is not working. This is urgent.,Shipping Problem
309,What colors are available? Kindly resolve ASAP.,Product Inquiry
310,Shipment is delayed. I am frustrated.,Shipping Problem
311,Please reset my password.,Account Access
312,Please add dark mode.,Feature Request
313,Please add dark mode. Please help quickly.,Feature Request
314,I was charged twice for my subscription. I am frustrated.,Billing Issue
315,I cannot log into my account. I am frustrated.,Account Access
316,It would be great to have offline access. Kindly resolve ASAP.,Feature Request
317,Very poor quality product. It has been 3 days already.,Complaint
318,I suggest adding a dashboard feature. Please help quickly.,Feature Request
319,Shipment is delayed. Kindly resolve ASAP.,Shipping Problem
320,Why was I billed after cancellation?,Billing Issue
321,Website is not loading properly. I am frustrated.,Technical Support
322,I am very disappointed with your service. This is urgent.,Complaint
323,Two-factor authentication is not working. It has been 3 days already.,Account Access
324,Refund status is still pending.,Refund Request
325,Subscription renewal amount is wrong. Kindly resolve ASAP.,Billing Issue
326,Please reset my password.,Account Access
327,I am getting a server error. Kindly resolve ASAP.,Technical Support
328,This is unacceptable. This is urgent.,Complaint
329,Mobile app keeps logging me out. Please help quickly.,Technical Support
330,Add integration with Google Drive. It has been 3 days already.,Feature Request
331,Can you add multi-language support? Kindly resolve ASAP.,Feature Request
332,I returned the item but haven't received my refund. This is urgent.,Refund Request
333,Please add dark mode. It has been 3 days already.,Feature Request
334,I am very disappointed with your service. Please help quickly.,Complaint
335,Two-factor authentication is not working. Please help quickly.,Account Access
336,"The product did not meet expectations, refund me. This is urgent.",Refund Request
337,What are the specifications of this item?,Product Inquiry
338,I received the wrong item. Kindly resolve ASAP.,Shipping Problem
339,Mobile app keeps logging me out. It has been 3 days already.,Technical Support
340,Cancel my order and issue refund. This is urgent.,Refund Request
341,Two-factor authentication is not working. Kindly resolve ASAP.,Account Access
342,"The product did not meet expectations, refund me. It has been 3 days already.",Refund Request
343,Website is not loading properly. Kindly resolve ASAP.,Technical Support
344,My invoice shows an incorrect amount. This is urgent.,Billing Issue
345,Customer service was very rude. It has been 3 days already.,Complaint
346,Customer service was very rude. Kindly resolve ASAP.,Complaint
347,Account was suspended without reason. This is urgent.,Account Access
348,The app crashes when I open it. I am frustrated.,Technical Support
349,Please add dark mode. This is urgent.,Feature Request
350,Package was damaged during delivery.,Shipping Problem
351,Very poor quality product. I am frustrated.,Complaint
352,I returned the item but haven't received my refund. It has been 3 days already.,Refund Request
353,Customer service was very rude. Please help quickly.,Complaint
354,Do you offer warranty for this product? I am frustrated.,Product Inquiry
355,My account is locked. This is urgent.,Account Access
356,Very poor quality product.,Complaint
357,I see an unknown charge on my card. I am frustrated.,Billing Issue
358,My invoice shows an incorrect amount.,Billing Issue
359,I see an unknown charge on my card. Please help quickly.,Billing Issue
360,It would be great to have offline access. Please help quickly.,Feature Request
361,I received the wrong item. I am frustrated.,Shipping Problem
362,I am very disappointed with your service. Kindly resolve ASAP.,Complaint
363,This is unacceptable. I am frustrated.,Complaint
364,Please process my refund immediately. It has been 3 days already.,Refund Request
365,I received the wrong item. I am frustrated.,Shipping Problem
366,Please reset my password.,Account Access
367,Refund status is still pending. It has been 3 days already.,Refund Request
368,This is unacceptable. It has been 3 days already.,Complaint
369,Is this product compatible with Windows? It has been 3 days already.,Product Inquiry
370,The app crashes when I open it.,Technical Support
371,The system freezes after login. I am frustrated.,Technical Support
372,Package was damaged during delivery. This is urgent.,Shipping Problem
373,Please reset my password.,Account Access
374,What are the specifications of this item? This is urgent.,Product Inquiry
375,I cannot log into my account. I am frustrated.,Account Access
376,Shipment is delayed.,Shipping Problem
377,My account is locked. It has been 3 days already.,Account Access
378,I suggest adding a dashboard feature.,Feature Request
379,The tracking number is not working. I am frustrated.,Shipping Problem
380,I am very disappointed with your service. It has been 3 days already.,Complaint
381,Very poor quality product.,Complaint
382,I am getting a server error. This is urgent.,Technical Support
383,I suggest adding a dashboard feature. It has been 3 days already.,Feature Request
384,I want a refund for my last purchase.,Refund Request
385,What colors are available?,Product Inquiry
386,What colors are available? I am frustrated.,Product Inquiry
387,I am very disappointed with your service. Kindly resolve ASAP.,Complaint
388,The app crashes when I open it. Please help quickly.,Technical Support
389,Account was suspended without reason. Please help quickly.,Account Access
390,Package was damaged during delivery.,Shipping Problem
391,I am getting a server error. Please help quickly.,Technical Support
392,My account is locked.,Account Access
393,Delivery address was changed without notice. Please help quickly.,Shipping Problem
394,Do you offer warranty for this product?,Product Inquiry
395,Cancel my order and issue refund. This is urgent.,Refund Request
396,Please process my refund immediately. It has been 3 days already.,Refund Request
397,Shipment is delayed. Kindly resolve ASAP.,Shipping Problem
398,I returned the item but haven't received my refund. It has been 3 days already.,Refund Request
399,Cancel my order and issue refund. Kindly resolve ASAP.,Refund Request
400,Can you explain how this product works? Please help quickly.,Product Inquiry
401,Payment failed but money was deducted. It has been 3 days already.,Billing Issue
402,I was charged twice for my subscription. It has been 3 days already.,Billing Issue
403,Can you explain how this product works? This is urgent.,Product Inquiry
404,Is this product compatible with Windows? This is urgent.,Product Inquiry
405,I had a terrible experience. Kindly resolve ASAP.,Complaint
406,My order has not arrived yet. Kindly resolve ASAP.,Shipping Problem
407,Customer service was very rude. I am frustrated.,Complaint
408,Shipment is delayed. Kindly resolve ASAP.,Shipping Problem
409,I suggest adding a dashboard feature.,Feature Request
410,Customer service was very rude. Kindly resolve ASAP.,Complaint
411,What colors are available? It has been 3 days already.,Product Inquiry
412,The app crashes when I open it. This is urgent.,Technical Support
413,Please reset my password.,Account Access
414,Cancel my order and issue refund. It has been 3 days already.,Refund Request
415,Customer service was very rude. It has been 3 days already.,Complaint
416,Shipment is delayed. It has been 3 days already.,Shipping Problem
417,Refund status is still pending. Please help quickly.,Refund Request
418,The tracking number is not working. This is urgent.,Shipping Problem
419,I returned the item but haven't received my refund. I am frustrated.,Refund Request
420,I received the wrong item. Kindly resolve ASAP.,Shipping Problem
421,I am very disappointed with your service. Kindly resolve ASAP.,Complaint
422,Mobile app keeps logging me out. This is urgent.,Technical Support
423,My invoice shows an incorrect amount.,Billing Issue
424,Can you explain how this product works? I am frustrated.,Product Inquiry
425,I returned the item but haven't received my refund. I am frustrated.,Refund Request
426,I suggest adding a dashboard feature. Kindly resolve ASAP.,Feature Request
427,Is this product compatible with Windows? Kindly resolve ASAP.,Product Inquiry
428,Error code 500 appears frequently. I am frustrated.,Technical Support
429,Is this product compatible with Windows? This is urgent.,Product Inquiry
430,I cannot log into my account. This is urgent.,Account Access
431,Is this product compatible with Windows? This is urgent.,Product Inquiry
432,Mobile app keeps logging me out. Kindly resolve ASAP.,Technical Support
433,Please process my refund immediately. I am frustrated.,Refund Request
434,Do you offer warranty for this product? This is urgent.,Product Inquiry
435,Does this support Android devices? I am frustrated.,Product Inquiry
436,I want a refund for my last purchase. This is urgent.,Refund Request
437,I returned the item but haven't received my refund. This is urgent.,Refund Request
438,I received the wrong item. It has been 3 days already.,Shipping Problem
439,The app crashes when I open it. Please help quickly.,Technical Support
440,What colors are available?,Product Inquiry
441,"The product did not meet expectations, refund me. Please help quickly.",Refund Request
442,Refund status is still pending. I am frustrated.,Refund Request
443,Very poor quality product. This is urgent.,Complaint
444,The app crashes when I open it. It has been 3 days already.,Technical Support
445,Package was damaged during delivery.,Shipping Problem
446,I want a refund for my last purchase. Please help quickly.,Refund Request
447,I suggest adding a dashboard feature. Please help quickly.,Feature Request
448,It would be great to have offline access. Please help quickly.,Feature Request
449,Two-factor authentication is not working. I am frustrated.,Account Access
450,Refund status is still pending. This is urgent.,Refund Request
451,Refund status is still pending. Kindly resolve ASAP.,Refund Request
452,Do you offer warranty for this product?,Product Inquiry
453,The tracking number is not working. I am frustrated.,Shipping Problem
454,Please add dark mode. It has been 3 days already.,Feature Request
455,Payment failed but money was deducted.,Billing Issue
456,My order has not arrived yet. Please help quickly.,Shipping Problem
457,My invoice shows an incorrect amount.,Billing Issue
458,The app crashes when I open it. It has been 3 days already.,Technical Support
459,Subscription renewal amount is wrong. Please help quickly.,Billing Issue
460,Can you add multi-language support? It has been 3 days already.,Feature Request
461,This is unacceptable. It has been 3 days already.,Complaint
462,Mobile app keeps logging me out. It has been 3 days already.,Technical Support
463,Add integration with Google Drive. I am frustrated.,Feature Request
464,My order has not arrived yet. It has been 3 days already.,Shipping Problem
465,"The product did not meet expectations, refund me.",Refund Request
466,It would be great to have offline access.,Feature Request
467,Customer service was very rude.,Complaint
468,Shipment is delayed. It has been 3 days already.,Shipping Problem
469,What are the specifications of this item?,Product Inquiry
470,It would be great to have offline access. This is urgent.,Feature Request
471,The tracking number is not working. I am frustrated.,Shipping Problem
472,I am very disappointed with your service. Please help quickly.,Complaint
473,Login OTP is not arriving. I am frustrated.,Account Access
474,Please process my refund immediately. This is urgent.,Refund Request
475,I want a refund for my last purchase. I am frustrated.,Refund Request
476,Is this product compatible with Windows? Please help quickly.,Product Inquiry
477,I was charged twice for my subscription. It has been 3 days already.,Billing Issue
478,Very poor quality product.,Complaint
479,The app crashes when I open it. Kindly resolve ASAP.,Technical Support
480,I see an unknown charge on my card. It has been 3 days already.,Billing Issue
481,Error code 500 appears frequently. I am frustrated.,Technical Support
482,Please process my refund immediately. It has been 3 days already.,Refund Request
483,Do you offer warranty for this product? Kindly resolve ASAP.,Product Inquiry
484,My order has not arrived yet. It has been 3 days already.,Shipping Problem
485,My account is locked. It has been 3 days already.,Account Access
486,Does this support Android devices? It has been 3 days already.,Product Inquiry
487,I returned the item but haven't received my refund.,Refund Request
488,I received the wrong item. Kindly resolve ASAP.,Shipping Problem
489,Does this support Android devices?,Product Inquiry
490,I want a refund for my last purchase. I am frustrated.,Refund Request
491,I suggest adding a dashboard feature.,Feature Request
492,My account is locked. It has been 3 days already.,Account Access
493,The tracking number is not working. I am frustrated.,Shipping Problem
494,Please reset my password. This is urgent.,Account Access
495,I see an unknown charge on my card. This is urgent.,Billing Issue
496,Can you explain how this product works? I am frustrated.,Product Inquiry
497,I cannot log into my account. Please help quickly.,Account Access
498,Is this product compatible with Windows? Please help quickly.,Product Inquiry
499,Error code 500 appears frequently. This is urgent.,Technical Support
500,I suggest adding a dashboard feature. I am frustrated.,Feature Request
501,Can you add multi-language support? This is urgent.,Feature Request
502,I am very disappointed with your service. Kindly resolve ASAP.,Complaint
503,Please reset my password.,Account Access
504,My order has not arrived yet. It has been 3 days already.,Shipping Problem
505,What are the specifications of this item?,Product Inquiry
506,Support team is not responding. Please help quickly.,Complaint
507,I am getting a server error. Please help quickly.,Technical Support
508,What colors are available? I am frustrated.,Product Inquiry
509,Can you explain how this product works? This is urgent.,Product Inquiry
510,I had a terrible experience. This is urgent.,Complaint
511,What colors are available? I am frustrated.,Product Inquiry
512,My invoice shows an incorrect amount. Please help quickly.,Billing Issue
513,Please process my refund immediately. This is urgent.,Refund Request
514,Customer service was very rude. Kindly resolve ASAP.,Complaint
515,Delivery address was changed without notice. Kindly resolve ASAP.,Shipping Problem
516,I had a terrible experience. Please help quickly.,Complaint
517,The tracking number is not working. Please help quickly.,Shipping Problem
518,Customer service was very rude. I am frustrated.,Complaint
519,What are the specifications of this item? This is urgent.,Product Inquiry
520,Do you offer warranty for this product? I am frustrated.,Product Inquiry
521,I am very disappointed with your service. Please help quickly.,Complaint
522,Shipment is delayed. Kindly resolve ASAP.,Shipping Problem
523,What colors are available? I am frustrated.,Product Inquiry
524,Package was damaged during delivery. It has been 3 days already.,Shipping Problem
525,Account was suspended without reason. Please help quickly.,Account Access
526,Shipment is delayed. I am frustrated.,Shipping Problem
527,Can you add multi-language support? Kindly resolve ASAP.,Feature Request
528,I cannot log into my account. I am frustrated.,Account Access
529,Please reset my password. I am frustrated.,Account Access
530,Please process my refund immediately. It has been 3 days already.,Refund Request
